Addresses,NFTWorlds,Azuki Count
0x8ffa85a0c59Cf23967eb31C060B2ca3A920276E1,57,116
0x6186290B28D511bFF971631c916244A9fC539cfE,45,1
0x6b2328F8A90c2628F8bECfc57B2aBC386bb99194,29,4
0x7d70B5b638a2AF9816202880535c8FE8F1FB9772,23,1
0xFf958Cb19c81532ca1e6521f1208Ab2c0C5CA4A6,20,3
0xFeEbB7251827A89143049d400573f71f54676adf,11,3
0xaC3B04591aeb4AB599c09207cbfafbab53d9074F,11,1
0x5f4934fC98EaE6061a01868A4700c53C1Ffb7d2E,10,3
0x80131256FD9F57aDCcd4556A73393BeaD4EaBfd1,10,1
0x1e32a859d69dde58d03820F8f138C99B688D132F,10,1
0x0A0871c2Ea6f24149758Dc5bd1136D337b7F47b8,9,2
0x5C89175AbFb5c7af6dF7bd56C3c3E2f14054C3FC,8,9
0xF224837e13B1a745574Ef68A73427B0063F266F1,8,4
0x30CF55BF0A7b5011083E8B02bEe6b14B6f5193f2,7,3
0x17E31bf839acB700e0F584797574A2C1FDe46d0b,7,1
0x6073Ae7059582fb08AE030663c33d026B3aD0766,6,5
0xC46D5cBf77e854f8FaE1EF979421060f8BA36988,6,2
0xf69EA6646cf682262E84cd7c67133eac59cef07b,5,3
0xfC28Fd2Bf7EF223A395D32Cbfa7b4488298d63d6,5,2
0x98BB4Ac8AE0eD9EEF95a7681BdA3161b928d34EC,5,5
0x69E0E2b3d523D3b247d798a49C3fa022a46DD6bd,5,4
0xE136C0D0039aFAe187F022a5e2F37B8Bf5d176a9,4,1
0xaD3c83f237bB07CBE06a9d1c7373D74Cb6e322cc,4,1
0xf853184415AC2312844E77Cc7BaBda372e8F56aF,4,6
0x4427A5A7E6e04ae96CD671c0a4e0B5c14b7B4F17,4,2
0xbB04b1B77bE30e0a534dD5aa590A48d1D8f7398e,4,1
0x286096cbE703afa1Bd126765aCaDF573C938F778,3,1
0xFCE7cFF486C2bc704F27Ed3F21578f60E1775b91,3,1
0x29Ad5dd39AF95D781e3a07E7A0306eA403280E0C,3,2
0xea40b0f6BA2aD77fF2FedAe98Ca67EaefCBCBE4A,3,2
0xb882CdAdb39f779A66fB66EF6476DC42B591A367,3,2
0xef09497247fb6Ea154Ea4DC12258D86267d570e1,3,2
0x7C189a7DdC21b407e4ae2271bf2cE84566D319b6,3,6
0xb8BE6f5be927ae33b77cE2048aE155daDb131B13,3,7
0x59DBCE846aA40F138D805a7CeBe2AFb0c33066A3,3,36
0x533507b60e52161952A37E11082DF18a675E05B8,3,1
0xE03513898E041bfa68292aD8992B2d781Ae738d9,2,1
0x9F222c4533507c1a5E986F03F6fA3d5321f04B08,2,1
0x851Ce1B1e0Ca5294ddC049920816b507512F623C,2,2
0xa83c572C8072f3b11562F08B89d4F3077682acDB,2,1
0xF04dd4FdcDA5ac1094FdC7a463400b869d173e8B,2,1
0x1d87297915F17CD24aF97724CfC88D8608C20630,2,1
0x5CF27815411D0eAC8EB726E7227fE09828a85780,2,1
0xb6799258b5e25857DAAF2CED9B9Dd61859f9CB77,2,1
0xA6ddaC53A908Ab4a75bf9B87f7Fae84bABd17F6e,2,3
0x5A70ec52E977B50c9fc12Ca0aA6d5e26E7C62291,2,2
0x6D2e71AF8703bC56363f5838133f7AD00BD895e9,2,1
0xF694D1Bd527b09e030851062839d57A44A5b565E,2,1
0xA947FB8Fe763b7D3dE3487Dd2B375540a9e90257,2,1
0x2aDBc63f1a72d33b8050521eCa1b57D335bD9dbC,2,4
0xCa11d10CEb098f597a0CAb28117fC3465991a63c,2,1
0x0743882fa09A0c257B18d53dC1B101d3F32a04E5,2,12
0x83C74780e4Ad37444A0743947482f6666872f10b,2,5
0xA0238845c64Ba05a4Bf8545462a65F8db1796a05,2,3
0xBC05Bd8552173f4292F9F98316e3eE389898785c,2,1
0x0E383D94a9549C80354D9f3F23905dA9a084E9eA,2,1
0x90DAfA324D331801C3DE6307E3033c5bB6bAe3Ae,2,1
0x7dca997a1E89527e28AE91032aA1997Aa35934a7,2,2
0xbD6907023e8129C6219536C1Bf2e7FB9e0CEd8E1,2,2
0x2B4915C74795193f61fb96bDd20878061b49CE5D,2,1
0x7772881A615cd2d326eBE0475A78f9D2963074b7,2,3
0x886478D3cf9581B624CB35b5446693Fc8A58B787,2,2
0xe5419AF9cF835eD3b4C883b3C24cF1529f492Dde,2,1
0x92041C816fA960e2352f49ac118771307c416A17,2,1
0x5763542e5De5f524037B6c90623d00E0D6099BdE,2,2
0x6e4eFA98d0FaF05A2FDdc8E145540F53c947701A,2,2
0x4761482Ff80F9ADD6b6CA025f5Cc268f440e4dB1,2,1
0x0cbE76944FCF10d73d98F6935590c67400d5eb79,2,1
0x3CFbC51d12d88EBf24196d951C5E05C665C049F2,2,1
0x45C9eb27D46c68303eAB0Bf130b5E51a7eAf7793,2,1
0xdb3fF3567157210AD445d7bc50ffa41f63De7F28,2,3
0xDdB78a939EB9ebcBeB77c19ec9e5dE94c5395D94,2,1
0xEaFFb626014495a3331ed7539fD229893f57CB15,2,1
0xDdf767f258adf0af89896621349cAdcf8722f771,1,6
0xeA2a3f3DC3e40Ca326C1047B0cB567e91465C512,1,2
0x7dA53E9C628E417862c7e385E5AD19c1604580d5,1,1
0x8bDFc3Ec7e36dF479944a9C358697fCC80FB6546,1,1
0x976a8E1b668960F95B863871F40F7F9cfbBc109A,1,1
0x7300C7771d5e50D817Db7d57f1A42762158593B8,1,1
0xb6aD61B7558c718269a9129Bd9eD9839d88A126A,1,3
0xB1367Bd5C4D68897cCEdAbB0641c6ae491b8A697,1,1
0x5DacBDD20B9eAFAaA30BFAD3B2Af1793036D65f3,1,1
0x97B439DB483bB0E02c709b2E948a32Ee72dAa82D,1,1
0xFFFBEd6Df8F0A624dFa821a9e3BB9c51Bd05f8DA,1,1
0x510D415a99596cCc0adC96F23BDCAEa810335451,1,1
0x9143Aa81FEdddA4e7528863aE062908c3AdD016B,1,1
0x226c23C65E292263AeaFBeb790a5e15eEFd7F709,1,1
0x56f210974e0Ac548cF75c6034f1C0aa515c818df,1,1
0x264624eDa7FF57D688A1a799B20f152D0a7cf42C,1,1
0x8a3acC2d82c9A19eFDBdDB803add7BF7713C4545,1,6
0x9b1a1d93cbc4C3A5584b7E58656e6DAC00B4Fcee,1,1
0x60226A096fdCC916e01F1FEb94f21096FdD9F2a1,1,1
0x12F37431468eb75c2a825e2Cf8Fde773aD94c8EA,1,3
0xcc38587c31688386fbCe950BB437D818A5F236fF,1,2
0x90CF29D515Bb9B8E64b78f113213B0B9E92Bb5a5,1,1
0x4FAD0c93cb24C05CbCbBce61253C4ffd90525655,1,1
0x0B5dD26f44D36141d97A3bF6841e7bA63C092AF9,1,1
0x343C80183e14183024D3a2C822612B78C94ed2D9,1,1
0x52Bb39ac099aB78547c577530ee38A8c59498Ba3,1,1
0x468E17D14960d3bD796ebd2A27299Df02CA9AdD8,1,1
0xB44c0b07b9CC8e86faA31cd41e0736714745A705,1,1
0xF142D7bAFF0986B50ae24e694419C65e7091f52c,1,2
0x2ba77503bA95CDa28A4015C73eC88B60516fb91d,1,8
0xb09953Cfe51cd1F7d4d655f5DBE15dD94E90b23B,1,3
0xCDA5D64BF70E13baAf75eA2996Cf2b7f5c998422,1,1
0x49A0b151a26bF2271Aac5242b6d3E53DC123f0CB,1,1
0x2604fb7B2c561D6a277a0EC8c2308A26CEe18272,1,1
0x9E09e7b7949B639b007526F92F87Ad3BcD33fD0F,1,1
0x93bd0162687d98afAdF3fF4b67CCB68680877bc3,1,4
0x737eC3AE4A8B1F9f623DAc5817b9be9F457a6EF6,1,1
0x272987bb318998e9Fc8893A263329E3065349DF2,1,1
0xd7192081E5F481364C190022f0012A729FbA37A5,1,1
0x5cbd390539caaa24152d62003de2522565470152,1,1
0xC46Db2d89327D4C41Eb81c43ED5e3dfF111f9A8f,1,1
0xe47E1ac440A31A8C77C825cF30D9a91f6352Bc84,1,1
0x6070adb40c86B6593fd95f09db25DC0dFFbF207A,1,1
0x5085BF3F34ae419d7e76daF7b232AE438321A634,1,2
0xa17D53d78A2BBe050B8EbB00cedDB1D3d7BF7b32,1,1
0x86A083A6C89c46Fc244549243cD4342A7566f80f,1,1
0x8c9cfb7e78BdC6EBf8815a96F3eA76E1669BDae4,1,1
0x949e335CF8Ca0E27be5da3F6F213aA58a89d6A53,1,1
0x04490fB053a8Ff110bea35F22D955C0092aAE5f8,1,2
0xECa9C66692bB06d64E0289042409c69289c67C23,1,5
0x4c8ad72f93C7BD2131701F3790e6D06cc56c651F,1,1
0x3aff23b34571F74dCc5A31eb8120c7536a7F2de9,1,4
0xF94BA062308EA92f7AB3CF55c4B410339717C74d,1,1
0xdF585DcE0DE45b79991015F600aFD7Ac12f91107,1,1
0xc4cAE9E74593011f5d5A7b7eAbD2d2a8c7E3d4ea,1,1
0x46168c5Cd4ccb6d8D849bb34fBf2B7f6C1365f0B,1,1
0x2D89Cc4E013db2908b877c51D39Ff63982761c96,1,1
0x7b2e2b01b349c99Bd245EbE75399e31F3a3ff9ab,1,1
0xa82a74b8f5877734D78345C5867E9578FbFAC639,1,2
0xA7B5cA022774BD02842932e4358DDCbea0CCaADe,1,1
0xae805B9eaa5A04F307b439484eD881e75D36Ac73,1,2
0x2b01E4D89051257381B00889b16BEdc8D9813944,1,1
0xC32C0022ce7ea8b571165c29f84763C2791F7225,1,1
0x0619FaF1247845c4188D1bC1Eb8E11fd0C658494,1,1
0x52d53E394a5FA689359dE855aA0ABcEe4D8921bb,1,1
0xff2bA16FD74389907f4e9Ad808eF6c6B25e7E5C5,1,1
0xb74e5e06f50fa9e4eF645eFDAD9d996D33cc2d9D,1,1
0x4823BE7F266c5bcA85B7Dbd8e41f4710e1c49a7b,1,1
0xC4B0D0A7717905d342926958453e0654806850bB,1,20
0x3baaAC46cfa8De80daf02aE3970002125410A4B3,1,1
0xF114Fd871c18beA315F639266bb43009ec82685B,1,2
0xc0Bbc17910BafCAB69F6bEF8574C7625134df13f,1,1
0x668E961736454a2444ADB485340cB7F0844DDd3d,1,5
0x608f0a54b97604a528b48C7164f6990a03e241Ca,1,1
0x80C2C1CEB335E39B7021C646Fd3EC159FaF9109D,1,1
0xc4CCa7049fba013313F57E0139b954913D541ad2,1,1
0x41955ab7d12F9F6C03de972b91d9b895D9c2EaF8,1,1
0xF203840d1D187d2a6fE4e9E2F62A5181a0e07061,1,1
0x69e2757D41D1504706D9814694C71BeAb88b3561,1,1
0x13a9518A451EDaD79079753c89Cc7197FF3f570A,1,1
0x6AcE9Cffeb1dDCdEE9eD814F35A318ff61572630,1,1
0x50b14457fC25d32F3c5F330aF97EC8EA1F9EC573,1,1
0xDC5E270E6d4Bc507e4F3Fe210091DBF3A6021a5c,1,1
Total,504,462
